filename,hover,caption,category,available,price
Blue Cups w_ Floral Designs 1.jpg,Blue Cups w_ Floral Designs 2.jpeg,,Floral Patches Series,false,
Blue Floral Teacup and Saucer 1.jpeg,Blue Floral Teacup and Saucer 2.jpg,,Floral Teasets,false,
Blue Floral Teapot 1.jpeg,Blue Floral Teapot 2.jpg,,Floral Teasets,false,
Blue Rounded Ridged Jar.jpeg,,,Jars,false,
Chip and Dip.jpg,,,,false,
Cream Floral Teapot.JPG,,,Floral Teasets,false,
Drippy Brown Mug.jpeg,,,Mugs,true,33
Floral Berry Bowl.jpeg,Floral Berry Bowl 2.jpeg,On Hold - $90,Carving and Piercing Work,false,90
Floral Bowls.jpeg,,,,false,
Floral Creamer.jpeg,,,Floral Teasets,true,38
Sugar Jar.jpeg,,On Hold - $40,Floral Teasets,false,40
Floral Cutout Bowl 1.jpg,Floral Cutout Bowl 2.jpeg,,Carving and Piercing Work,true,28
Floral Flat Rim Bowls.jpeg,,,,false,
Georgie's Teapot and Cup set.jpeg,,,,false,
Green Floral Teapot.jpeg,,,Floral Teasets,false,
Green Ridged Jar.jpeg,,,Jars,false,
Large Pot.jpg,,,Carving and Piercing Work,false,
Leaf Carving Tealight Holder.jpg,,,Carving and Piercing Work,true,18
Light Green Mug w: Floral Designs.jpeg,,,Floral Patches Series,false,
Meal Bowls.jpg,,,,false,
Medium Blue Pitcher w: Floral Designs.jpeg,,,Floral Patches Series,true,70
Navy Oil Dispenser and Salt Jar.jpeg,,Oil Dispenser On-Hold - $50,,false,
Oil Dispenser w: Floral Designs.jpeg,,,,false,
Pears.jpeg,,,,false,
Red Floral Teapot.jpeg,,,Floral Teasets,false,
Red Pumpkin Mug.jpeg,,,Mugs,false,
Small Blue Pitcher w: Floral Designs.jpeg,,,Floral Patches Series,true,43
Small Light Blue Pitcher.jpeg,,,Floral Patches Series,true,48
White Pumpkin Mug.jpg,,,Mugs,false,
Yellow Floral Teacups 1.jpg,Yellow Floral Teacups 2.jpeg,,Floral Teasets,false,
light_blue_oil_dispenser.jpeg,,On-Hold - $40,,false,
tealight holder.jpeg,,On-Hold - $10,Carving and Piercing Work,false,
vases.jpeg,,On-Hold - $20 each,,false,
